received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
1,192.168.123.2,0.000,0,0.048,0.048,19:7:33,1,0.048
1,192.168.123.2,0.000,0,0.154,0.154,19:7:34,1,0.154
1,192.168.123.2,0.000,0,0.050,0.050,19:7:35,1,0.050
1,192.168.123.2,0.000,0,0.104,0.104,19:7:36,1,0.104
1,192.168.123.2,0.000,0,0.052,0.052,19:7:37,1,0.052
1,192.168.123.2,0.000,0,0.047,0.047,19:7:38,1,0.047
1,192.168.123.2,0.000,0,0.055,0.055,19:7:39,1,0.055
1,192.168.123.2,0.000,0,0.055,0.055,19:7:40,1,0.055
1,192.168.123.2,0.000,0,0.059,0.059,19:7:41,1,0.059
1,192.168.123.2,0.000,0,0.075,0.075,19:7:42,1,0.075
1,192.168.123.2,0.000,0,0.050,0.050,19:7:43,1,0.050
1,192.168.123.2,0.000,0,0.053,0.053,19:7:44,1,0.053
1,192.168.123.2,0.000,0,0.059,0.059,19:7:45,1,0.059
1,192.168.123.2,0.000,0,0.078,0.078,19:7:46,1,0.078
1,192.168.123.2,0.000,0,0.078,0.078,19:7:47,1,0.078
1,192.168.123.2,0.000,0,0.060,0.060,19:7:48,1,0.060
1,192.168.123.2,0.000,0,0.091,0.091,19:7:49,1,0.091
1,192.168.123.2,0.000,0,0.076,0.076,19:7:50,1,0.076
1,192.168.123.2,0.000,0,0.096,0.096,19:7:51,1,0.096
1,192.168.123.2,0.000,0,0.077,0.077,19:7:52,1,0.077
1,192.168.123.2,0.000,0,0.086,0.086,19:7:53,1,0.086
1,192.168.123.2,0.000,0,0.053,0.053,19:7:54,1,0.053
1,192.168.123.2,0.000,0,0.064,0.064,19:7:55,1,0.064
1,192.168.123.2,0.000,0,0.052,0.052,19:7:56,1,0.052
1,192.168.123.2,0.000,0,0.070,0.070,19:7:57,1,0.070
1,192.168.123.2,0.000,0,0.068,0.068,19:7:58,1,0.068
1,192.168.123.2,0.000,0,0.062,0.062,19:7:59,1,0.062
1,192.168.123.2,0.000,0,0.059,0.059,19:8:0,1,0.059
1,192.168.123.2,0.000,0,0.133,0.133,19:8:1,1,0.133
1,192.168.123.2,0.000,0,0.050,0.050,19:8:2,1,0.050
1,192.168.123.2,0.000,0,0.059,0.059,19:8:3,1,0.059
1,192.168.123.2,0.000,0,0.125,0.125,19:8:4,1,0.125
1,192.168.123.2,0.000,0,0.048,0.048,19:8:5,1,0.048
1,192.168.123.2,0.000,0,0.054,0.054,19:8:6,1,0.054
1,192.168.123.2,0.000,0,0.068,0.068,19:8:7,1,0.068
1,192.168.123.2,0.000,0,0.052,0.052,19:8:8,1,0.052
1,192.168.123.2,0.000,0,0.052,0.052,19:8:9,1,0.052
1,192.168.123.2,0.000,0,0.077,0.077,19:8:10,1,0.077
1,192.168.123.2,0.000,0,0.059,0.059,19:8:11,1,0.059
1,192.168.123.2,0.000,0,0.055,0.055,19:8:12,1,0.055
1,192.168.123.2,0.000,0,0.050,0.050,19:8:13,1,0.050
1,192.168.123.2,0.000,0,0.072,0.072,19:8:14,1,0.072
1,192.168.123.2,0.000,0,0.073,0.073,19:8:15,1,0.073
1,192.168.123.2,0.000,0,0.082,0.082,19:8:16,1,0.082
1,192.168.123.2,0.000,0,0.073,0.073,19:8:17,1,0.073
1,192.168.123.2,0.000,0,0.052,0.052,19:8:18,1,0.052
1,192.168.123.2,0.000,0,0.053,0.053,19:8:19,1,0.053
1,192.168.123.2,0.000,0,0.055,0.055,19:8:20,1,0.055
1,192.168.123.2,0.000,0,0.065,0.065,19:8:21,1,0.065
1,192.168.123.2,0.000,0,0.094,0.094,19:8:22,1,0.094
1,192.168.123.2,0.000,0,0.061,0.061,19:8:23,1,0.061
1,192.168.123.2,0.000,0,0.071,0.071,19:8:24,1,0.071
1,192.168.123.2,0.000,0,0.075,0.075,19:8:25,1,0.075
1,192.168.123.2,0.000,0,0.075,0.075,19:8:26,1,0.075
1,192.168.123.2,0.000,0,0.077,0.077,19:8:27,1,0.077
1,192.168.123.2,0.000,0,0.051,0.051,19:8:28,1,0.051
1,192.168.123.2,0.000,0,0.063,0.063,19:8:29,1,0.063
1,192.168.123.2,0.000,0,0.093,0.093,19:8:30,1,0.093
1,192.168.123.2,0.000,0,0.050,0.050,19:8:31,1,0.050
1,192.168.123.2,0.000,0,0.064,0.064,19:8:32,1,0.064
1,192.168.123.2,0.000,0,0.055,0.055,19:8:33,1,0.055
1,192.168.123.2,0.000,0,0.049,0.049,19:8:34,1,0.049
1,192.168.123.2,0.000,0,0.052,0.052,19:8:35,1,0.052
1,192.168.123.2,0.000,0,0.054,0.054,19:8:36,1,0.054
1,192.168.123.2,0.000,0,0.049,0.049,19:8:37,1,0.049
